City,Temperature (2080s),Precipitation (2080s),Sea Level Rise (2080s)
Aalborg,+1.6 to 5.4°C,1 to +22%
Abu Dhabi,+1.9 to 5.6°C,-39 to +78%,+23 to 124 cm
Accra,+1.4 to 3.9°C,-15 to +15%,+23 to 119 cm
Addis Ababa,+1.8 to 5.3°C,-3 to +28%
Ahmedabad,+1.9 to 5°C,-9 to +90%
Almada,+1.3 to 3.4°C,-39 to -5%
Antofagasta,+1.4 to 4.6°C,-29 to +47%,+20 to 116 cm
Antwerp,+1.5 to 4.9°C,-5 to +14%,+25 to 140 cm
Athens,+1.7 to 4.9°C,-33 to +2%,+22 to 116 cm
"Atlanta, GA",+2.1 to 5.1°C,-4 to +16%
Bangalore,+1.5 to 4.5°C,-1 to +45%
Bangkok,+1.5 to 4.7°C,-12 to +25%,+21 to 122 cm
Bath,+1.7 to 5.6°C,-4 to +18%
Berkeley,+1.8 to 5.6°C,-11 to +15%
Berlin,+2.2 to 6.1°C,3 to +19%
Bilbao,+2 to 6.1°C,-7 to +12%
Bobo-Dioulasso,+1.4 to 3.9°C,-21 to +11%
"Boston, MA",+1.5 to 4.9°C,-6 to +14%,+23 to 141 cm
Boulder,+1.2 to 3.5°C,0 to +21%
Brisbane,+1.8 to 5.4°C,-42 to +10%,+23 to 124 cm
Brussels,+2.1 to 6.2°C,-5 to +18%
Buenos Aires,+1.4 to 3.7°C,-5 to +24%,+19 to 115 cm
Cairo,+1.6 to 4.3°C,-14 to +9%
Calgary,+1.2 to 3.4°C,-32 to -7%
Can Tho,+1.8 to 4.9°C,-25 to +15%,+21 to 122 cm
Canberra,+1.4 to 3.8°C,3 to +30%
Cape Town,+1.7 to 5.4°C,1 to +23%,+22 to 118 cm
Chula Vista,+1.5 to 4.3°C,-7 to +23%,+21 to 118 cm
Colombo,+1.5 to 3.9°C,-2 to +25%,+22 to 122 cm
Copenhagen,+1.4 to 3.8°C,-41 to +43%,+25 to 140 cm
Cubatao,+1.5 to 3.7°C,-19 to +22%,+22 to 118 cm
Curitiba,+2 to 5.6°C,-11 to +38%
Dakar,+2 to 6.1°C,-7 to +9%,+22 to 118 cm
Dar es Salaam,+1.4 to 4.9°C,-6 to +41%,+22 to 122 cm
Delhi,+0.9 to 3.9°C,-2 to +14%
Denver,+1.5 to 3.9°C,-10 to +11%
